School Name,State Name [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Location ZIP [Public School] 2018-19,School Type [Public School] 2018-19,Charter School [Public School] 2018-19,Magnet School [Public School] 2018-19,Shared Time School [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year
ARCOLA BRIDGES/BEACONS RSSP,ILLINOIS,1700175,61931,4-Alternative/other school,2-No,2-No,2-No,19,14,16,14,5,2.10,9.05,170017506552,17
ARCOLA ELEMENTARY SCHOOL,Illinois,1703960,61910,1-Regular school,2-No,2-No,2-No,385,185,†,186,199,33.70,11.42,170396000082,17
ARCOLA HIGH SCHOOL,Illinois,1703960,61910,1-Regular school,2-No,2-No,2-No,332,156,233,173,159,26.40,12.58,170396000083,17
ARDMORE ELEM SCHOOL,Illinois,1740350,60181,1-Regular school,2-No,2-No,2-No,538,135,†,275,263,29.50,18.24,174035004052,17
ARDMORE ELEM SCHOOL,Illinois,1703150,60101,1-Regular school,2-No,2-No,2-No,254,158,†,120,134,20.00,12.70,170315000478,17
ARGENTA-OREANA ELEMENTARY SCHOOL,Illinois,1703990,62554,1-Regular school,2-No,2-No,2-No,493,249,†,263,230,31.40,15.70,170399000084,17
ARGENTA-OREANA HIGH SCHOOL,Illinois,1703990,62501,1-Regular school,2-No,2-No,2-No,280,104,280,149,131,20.90,13.40,170399000085,17
ARGENTA-OREANA MIDDLE SCHOOL,Illinois,1703990,62501,1-Regular school,2-No,2-No,2-No,189,98,†,98,91,14.70,12.86,170399000086,17
ARGO COMMUNITY HIGH SCHOOL,Illinois,1704020,60501,1-Regular school,2-No,2-No,2-No,1923,1232,1923,999,924,123.69,15.55,170402000088,17
ARIEL ELEM COMMUNITY ACADEMY,Illinois,1709930,60653,1-Regular school,2-No,2-No,2-No,513,425,†,292,221,30.00,17.10,170993001607,17
ARLAND D WILLIAMS JR ELEM SCH,Illinois,1725050,61938,1-Regular school,2-No,2-No,2-No,659,435,†,331,328,46.00,14.33,172505005654,17
ARLENE WELCH ELEMENTARY SCHOOL,Illinois,1741690,60564,1-Regular school,2-No,2-No,2-No,624,120,†,310,314,41.30,15.11,174169003609,17
ARMOUR ELEM SCHOOL,Illinois,1709930,60608,1-Regular school,2-No,2-No,2-No,265,209,†,146,119,17.00,15.59,170993001001,17
ARMSTRONG G ELEM INTL STUDIES,Illinois,1709930,60645,1-Regular school,2-No,2-No,2-No,1361,1219,†,717,644,83.50,16.30,170993001181,17
ARMSTRONG HIGH SCHOOL,Illinois,1704230,61812,1-Regular school,2-No,2-No,2-No,134,52,134,65,69,16.50,8.12,170423000119,17
ARMSTRONG-ELLIS ELEM SCHOOL,Illinois,1704200,61812,1-Regular school,2-No,2-No,2-No,73,35,†,43,30,10.70,6.82,170420000118,17
ARMSTRONG-OAKVIEW ELEM SCHOOL,Illinois,1713240,61611,1-Regular school,2-No,2-No,2-No,171,62,†,85,86,12.09,14.14,171324001568,17
ARMY TRAIL ELEM SCHOOL,Illinois,1703150,60101,1-Regular school,2-No,2-No,2-No,394,331,†,196,198,31.00,12.71,170315000005,17
ARNETT C LINES ELEM SCHOOL,Illinois,1705050,60010,1-Regular school,2-No,2-No,2-No,451,73,†,226,225,34.10,13.23,170505000195,17
